Banco,Cilindrada,Enganche desde (%),Tasa anual (%),Seguro ($),Seguro de vida ($),Plazos (meses),Comisión apertura (%)
Santander,350,20,17.99,7500,1800,"12,24,36,48,60",3
Santander,450,20,17.99,9500,1800,"12,24,36,48,60",3
Santander,650,20,17.99,13000,1800,"12,24,36,48,60",3
BBVA,350,40,13.49,9500,5000,"12,24,36,48,60",3
BBVA,350,35,15.49,9500,5000,"12,24,36,48,60",3
BBVA,350,20,17.99,9500,5000,"12,24,36,48,60",3
BBVA,450,40,13.49,14500,5000,"12,24,36,48,60",3
BBVA,450,35,15.49,14500,5000,"12,24,36,48,60",3
BBVA,450,20,17.99,14500,5000,"12,24,36,48,60",3
BBVA,650,40,13.49,16500,5000,"12,24,36,48,60",3
BBVA,650,35,15.49,16500,5000,"12,24,36,48,60",3
BBVA,650,20,17.99,16500,5000,"12,24,36,48,60",3
Banregio,350,30,15.99,8500,2600,"12,24,36,48",2
Banregio,350,15,16.49,8500,2600,"12,24,36,48",2
Banregio,450,30,12.75,9500,3000,"12,24,36,48,60",2
Banregio,450,10,13.49,9500,3000,"12,24,36,48,60",2
Banregio,650,30,12.75,14500,3000,"12,24,36,48,60",2
Banregio,650,10,17.99,14500,3000,"12,24,36,48,60",2
